행정구역,2022년_총인구수,2022년_세대수,2022년_남자 인구수,2022년_여자 인구수
제주특별자치도  (5000000000),"678,159","311,355","339,590","338,569"
제주특별자치도 제주시 (5011000000),"493,389","222,599","246,504","246,885"
제주특별자치도 서귀포시 (5013000000),"184,770","88,756","93,086","91,684"
