행정구역,2008년_총인구수,2008년_세대수,2008년_남자 인구수,2008년_여자 인구수
제주특별자치도  (5000000000),"560,618","214,681","280,088","280,530"
제주특별자치도 제주시 (5011000000),"407,498","155,398","203,107","204,391"
제주특별자치도 서귀포시 (5013000000),"153,120","59,283","76,981","76,139"
