행정구역,2013년_총인구수,2013년_세대수,2013년_남자 인구수,2013년_여자 인구수
제주특별자치도  (5000000000),"593,806","238,465","297,504","296,302"
제주특별자치도 제주시 (5011000000),"438,165","173,370","219,029","219,136"
제주특별자치도 서귀포시 (5013000000),"155,641","65,095","78,475","77,166"
