행정구역,2018년_총인구수,2018년_세대수,2018년_남자 인구수,2018년_여자 인구수
제주특별자치도  (5000000000),"667,191","287,104","335,719","331,472"
제주특별자치도 제주시 (5011000000),"485,946","204,621","243,974","241,972"
제주특별자치도 서귀포시 (5013000000),"181,245","82,483","91,745","89,500"
