사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2023-03,3호선,0310,구파발,87,3,11561,1290,35411,9525,95734,24536,86664,32204,49821,28504,34585,28805,31805,24469,32875,26909,30393,28655,30713,30123,34449,31673,39597,40142,40721,45295,32490,81411,20911,67954,16838,38706,14343,34579,11593,31302,3279,21164,519,9103,3,340,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0311,연신내,259,10,26748,1724,52048,11381,133964,25289,152561,37554,91319,37332,60270,35346,56628,36569,62938,42033,56368,44074,51992,47007,53924,58009,65467,70691,55092,89048,49870,141291,34687,119068,28027,69826,25303,61933,21082,56111,9648,37452,1536,12670,0,10,4,3,0,0,2023-04-03 09:45:30
2023-03,3호선,0312,불광,71,1,9619,1113,21492,4821,56678,12075,67012,34457,39370,32600,27903,27162,26188,25413,27316,27383,27949,30120,27475,30090,30426,32812,31983,37107,31413,43824,32793,66270,18583,52219,14443,30611,12326,27166,8436,24526,3694,14901,511,4455,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0313,녹번,77,1,10098,929,27114,3429,80056,7830,84471,18941,49711,11754,30187,10253,25112,11011,24842,13401,22466,14289,19039,16428,18068,22319,18741,30966,19993,39120,21757,67625,10519,55793,8006,33833,6400,30590,4809,26947,1866,16259,236,4630,0,0,1,2,0,0,2023-04-03 09:45:30
2023-03,3호선,0314,홍제,79,1,10196,1452,25597,6287,72949,11894,76359,28040,49714,22771,34164,21169,32018,19588,33427,21462,30302,23022,27726,25528,28091,32105,31106,39054,30653,46966,29696,68509,16380,57585,13347,33422,10690,31385,7902,27607,3248,17116,435,4569,1,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0315,무악재,25,1,1996,119,6364,1336,19290,3050,21411,6255,12964,4451,8885,4332,7392,4078,7150,4409,6458,5260,5882,5744,5229,7267,5845,9252,6466,11765,7472,18243,3426,14650,2502,9634,2035,8422,1500,7697,576,5131,106,1435,2,2,0,3,0,0,2023-04-03 09:45:30
2023-03,3호선,0316,독립문,168,3,5051,774,6052,5441,16811,16598,19690,21130,15441,19189,13282,20263,13632,14509,15279,13579,15040,15211,15987,14103,19328,13553,20318,14783,18727,15054,18120,17969,8608,14645,6467,9368,5278,8088,3994,8057,1186,5024,147,2058,0,771,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0317,경복궁(정부서울청사),56,0,2702,1722,6466,14615,15350,47097,21559,140731,21090,99891,19725,68326,25307,62945,33123,55804,42589,53889,53662,45039,67992,37650,81561,33937,97802,33790,124741,36026,53119,23119,41213,12908,39882,11117,27244,10975,10006,5861,1012,1657,1,48,1,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0318,안국,17,0,1648,1632,2878,22001,6637,96759,10763,127260,12611,85508,14649,70872,21777,76099,32122,64610,39042,61016,51685,56934,70016,46026,95802,39891,126849,35756,133937,32251,63570,14770,51416,7620,44173,6262,24487,5455,7324,3227,774,964,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0319,종로3가,16,1,770,908,1265,6049,1685,16696,3098,48566,4382,45826,6813,36013,9711,29118,11465,26620,13378,24647,16112,23413,20860,20821,24061,19735,35308,19318,57719,20084,33117,11610,19708,5915,21612,4332,17454,3305,7801,2242,676,841,1,9,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0320,을지로3가,21,2,621,1059,1226,8950,2775,36425,5758,88121,8700,34764,10067,17499,11341,14881,11421,14177,13108,14883,15833,12864,17524,13466,21423,14386,45078,17281,74340,21191,29338,11980,20476,6131,20604,4602,16271,3659,8622,2345,1166,645,3,5,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0321,충무로,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,2,0,1,0,2,0,2,0,2,0,1,0,4,0,8,0,3,0,6,0,2,0,5,0,2,0,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0322,동대입구,11,1,1755,1053,2734,9552,6364,17231,8649,65474,7836,42662,8378,35728,10803,29916,11721,22053,15921,24295,21110,19001,22494,15878,30320,14568,41205,19424,52956,24552,22546,10584,21710,6145,22880,5681,14120,4537,3988,3031,433,956,1,51,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0323,약수,84,2,6894,1067,11069,6296,28860,18113,41131,34804,30251,22149,20586,15857,19402,15644,20951,15632,21111,16639,20625,18458,22089,20705,24473,25969,27679,30890,34848,45746,20405,30216,16043,19582,16493,17915,11965,17033,5417,9629,883,3505,3,479,1,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0324,금호,33,3,4736,503,10701,2437,29563,4284,40254,8811,25744,6749,16507,6605,13590,6994,13334,8361,12572,10413,10687,11150,10640,13887,11754,17559,12137,22378,12248,32519,8159,23180,6063,16157,4447,14003,3779,13670,1580,7046,280,1972,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0325,옥수,223,0,2904,959,9709,4760,26139,9377,33556,14710,23861,10947,16732,9287,15022,10935,15037,11793,15147,13250,14791,14893,15204,17489,17353,20503,18782,26274,18662,35690,12107,25906,9748,17502,8512,15548,5550,15588,2440,7770,339,2124,0,2,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0326,압구정,58,3,3011,2295,8466,24258,17415,51215,27669,160173,23325,161987,28066,86359,34286,68180,40742,53418,44936,57774,54915,54913,64498,50529,75597,51579,100498,61741,147834,66666,100699,37311,77325,18555,58097,14695,42447,12712,13582,7071,2022,2371,1,244,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0327,신사,75,12,3977,1969,6596,19255,12437,46696,18771,107473,16177,142076,20142,72532,25386,51065,31037,49185,35862,52172,43869,48531,52215,45968,62240,48359,92038,58613,134552,73206,96780,39073,65878,19042,69450,14720,59800,12094,26191,8222,3706,3609,0,1,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0328,잠원,0,0,1184,1012,5009,8124,13647,6939,19172,9674,12324,6712,8688,4939,8601,5297,8207,5569,7830,7031,7581,7094,8445,8164,12991,9440,12654,11926,9893,15157,6070,11018,4364,6997,4211,7207,2672,8683,966,4316,129,1358,0,3,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0329,고속터미널,92,6,4853,3852,7065,34531,28216,50783,48451,76495,53852,95140,56774,96991,68814,105594,80555,97283,89337,97376,100617,102929,114623,109012,128405,107103,144896,114268,140707,121145,121317,77512,131175,46625,81081,35565,51699,26379,18971,12485,2034,2279,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0330,교대(법원.검찰청),80,5,1757,654,4170,7850,10082,22743,14732,53446,12727,39718,13233,19993,16368,13368,18318,13182,23272,13111,28066,11769,28795,11732,32027,12433,49909,18770,71513,23657,33511,11985,30247,6538,30581,5359,27802,4872,9059,2668,1378,835,0,1,0,1,0,0,2023-04-03 09:45:30
2023-03,3호선,0331,남부터미널(예술의전당),25,2,2840,1395,9847,26694,33403,67126,48035,166573,39130,91102,36524,52727,39754,39896,40267,42702,43547,49876,47232,48256,49770,49621,66865,51765,109032,59511,144021,72620,68915,45553,48534,26658,45101,19951,40437,16749,11740,10046,973,2778,0,2,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0332,양재(서초구청),84,14,5066,2814,14419,45531,38053,114569,48946,253997,35328,127540,32723,61573,35351,50433,39223,44505,44975,49839,50759,43376,60279,43969,77823,48589,131744,68983,208280,82482,92995,54771,69736,34704,63248,30849,42467,27622,14650,14887,1614,4334,0,2,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0333,매봉,5,2,1721,757,7157,9072,19338,24629,23638,78573,16623,36309,14078,16428,13737,14767,14013,14065,14778,13892,17487,13137,20140,13919,22778,15599,40540,21176,66623,26326,23200,17998,16844,10798,18483,9487,10962,9313,3318,4865,374,1736,0,51,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0334,도곡,42,2,745,374,3135,5761,10421,15798,13041,21600,8369,17506,6621,8349,6722,8326,6677,7391,7322,8043,8191,7653,10192,7902,14413,8532,18511,10317,19111,11062,9988,9556,7121,5466,5846,4831,4489,4871,1206,2984,168,2066,2,306,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0335,대치,9,0,2825,690,13264,8566,30466,20606,30802,28262,19530,18442,15872,14142,14783,13648,16293,16665,16588,20970,15846,19344,18643,22174,20255,33038,30450,35792,29778,33534,19361,27769,13827,14537,17813,14245,39217,12709,3966,7566,544,2687,0,2,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0336,학여울,5,0,549,253,1869,1677,4940,3738,5614,9962,3699,9885,3015,8783,4240,6913,6009,6928,6652,7768,7160,6991,8441,5817,9737,4740,11155,4547,10087,4922,3102,4119,2249,2639,1936,2349,1251,2128,284,1285,53,496,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0337,대청,66,0,3732,1152,11453,6988,32593,20933,37830,29700,21460,12962,16617,9139,14616,8748,14745,9927,14865,11763,13777,12491,17948,15281,25223,17388,26326,22493,28592,29989,12681,25833,9017,17002,7490,15538,5325,17406,1785,8976,215,2847,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0338,일원,5,1,2191,1810,9646,11871,27672,36745,26353,26759,19576,20717,18885,17619,19280,13233,19242,15086,16836,17233,18682,16619,23937,15546,33813,15073,39601,17552,20285,22918,12241,19507,7628,12446,5345,12077,4042,13122,1580,5680,152,1938,0,15,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0339,수서,238,3,4906,2362,12851,19044,38146,39804,49843,58389,33509,36890,33563,25735,27843,20954,33846,26800,30657,24409,24219,25684,36926,30284,43374,34661,48179,41433,56434,54604,25374,42048,25857,28591,17088,25342,17736,24135,6744,9543,658,3608,2,264,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0340,가락시장,46,8,3058,485,7682,6151,22601,13237,23757,30629,17614,16221,15386,11582,14643,11692,14430,12268,14946,12918,14250,13524,15623,15704,17196,17610,23242,20267,31582,27062,13048,19525,9958,12577,8935,10750,6238,10561,2441,5871,374,1963,2,42,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0341,경찰병원,18,0,2955,325,8218,3159,25304,8896,28721,30466,16759,15259,12435,9338,10997,7312,9930,7971,10472,9895,9968,9152,10698,9765,10889,11067,16126,16494,21666,24155,7810,18562,6369,11005,5396,10138,3552,9614,1200,5952,162,1642,1,0,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0342,오금,40,0,4077,9,9306,2796,30574,6962,32817,14534,16900,5850,10243,4910,8570,4717,8762,5893,8508,6628,7203,6695,7264,9196,8775,11005,12021,15584,12504,22877,5231,16967,3784,11209,3129,10225,2861,12034,815,6534,97,2337,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0409,당고개,74,1,8736,59,16679,4681,44327,5533,39687,11131,23896,10812,17560,9955,15632,9697,15624,10201,14962,10616,14046,11502,12794,14308,14135,17784,13896,21215,13312,27873,8063,27525,5586,17663,4619,16001,3005,14813,1315,10464,306,3990,0,429,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0410,상계,41,2,14520,306,39666,7930,94543,20890,81098,22030,47888,17895,33744,16516,30470,17107,32360,21117,28611,21599,25096,24023,25254,28761,30100,36995,28173,50243,25543,69667,16946,65195,12891,38858,11898,34820,12044,32545,3688,22163,520,6081,5,604,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0411,노원,256,3,12586,634,24931,8208,56428,15414,59660,32905,36047,33511,28781,25448,27811,24293,31571,27372,29761,32321,29251,31454,30551,36865,34383,45494,35802,62016,36080,89345,26486,71763,27228,40273,27274,35293,24500,30604,11775,20809,2273,7153,3,847,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0412,창동,2170,45,16932,2950,41340,13891,94146,20836,86395,39755,54679,31949,43826,29744,42340,29176,43134,36006,40273,41439,38004,45430,40906,51349,48741,58796,48199,71632,50578,97531,28340,83476,21598,50142,18763,44073,15650,41604,7369,25044,1382,9306,1,92,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0413,쌍문,227,20,24630,1223,55718,9487,137926,15529,137134,28882,84117,22111,56733,21045,49524,22298,48971,26995,43270,29542,36882,32172,34837,44495,38310,57730,39191,74256,35786,115424,23581,104777,17237,64994,13971,57793,10848,55093,5279,35209,727,10677,1,7,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0414,수유(강북구청),112,7,23150,3167,50776,11734,124584,21850,132440,60020,84405,42009,59447,33287,56348,35219,57463,37054,54063,42318,50792,46008,50848,56314,56279,74716,60180,90838,68309,138420,40741,119777,30767,73754,27568,66861,22287,62527,12670,41202,2128,10365,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0415,미아(서울사이버대학),71,5,11834,2073,21733,6770,50130,19693,55278,41361,35618,20658,26076,16642,25564,21472,27109,18203,25895,19496,25422,23228,26201,27022,31200,31681,31160,36977,31529,50660,18276,41430,12368,25651,10048,23434,10072,20640,3056,14037,420,4000,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0416,미아사거리,68,3,16437,2472,39566,8471,101739,20577,106101,33953,66842,31612,45778,28853,42593,30237,42591,33998,42230,35297,40572,40093,43447,50344,49814,61116,44916,74773,45472,109365,33452,87059,31331,51530,19043,46054,14792,41314,6852,23549,1149,6201,0,0,0,1,0,0,2023-04-03 09:45:30
2023-03,4호선,0417,길음,16,1,10845,2082,35248,8447,97174,15911,93492,40953,54135,31995,36622,25868,32400,29271,34416,26499,33186,30349,30561,31884,34000,33816,39787,45180,43355,59137,40674,85849,21512,69173,16844,43067,13559,40253,14609,38748,5337,22953,746,6940,1,0,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0418,성신여대입구(돈암),22,5,6294,1837,19642,7702,51024,18120,56351,50521,39311,29679,30100,25035,32108,37813,35571,28203,35713,30989,38323,35683,41479,34354,46237,42640,54321,55706,55630,74047,34587,57811,31486,36479,34366,33939,30657,31266,14397,20688,2522,7021,0,3,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0419,한성대입구(삼선교),37,3,6518,1099,13377,7329,33369,20409,39270,37451,27854,27186,20991,23560,20923,21842,23971,22538,25093,24398,24588,23257,28068,23140,38075,27489,37660,34742,36498,40234,24004,32023,20827,20806,18194,19241,14311,19475,5906,12089,949,5816,3,1836,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0420,혜화,19,3,3764,2298,8136,23734,18387,54177,22897,132304,27372,88815,33558,71460,38458,72236,43366,78830,46487,96591,58814,84658,84838,65692,98961,65453,115578,80041,131798,88115,77841,61645,81707,23513,110349,21342,97148,18353,36966,11820,4905,3876,1,402,0,1,0,0,2023-04-03 09:45:30
2023-03,4호선,0421,동대문,281,5,4964,2533,3140,14391,5473,36512,8034,75574,13466,68693,19819,61917,26754,58237,34002,49133,40333,46691,50424,44398,60225,37425,70427,28248,89748,23133,67500,20178,38502,20808,26977,15458,29302,10624,17622,7698,8023,6519,1174,1460,1,124,0,2,0,0,2023-04-03 09:45:30
2023-03,4호선,0422,동대문역사문화공원(DDP),302,6,6224,1592,4828,13743,8782,29080,13751,70432,16484,39483,18923,30505,20503,29067,22678,26711,24889,27898,30815,27531,38083,24438,45341,23204,64203,25511,84440,28135,47027,28389,35589,18510,34607,16225,25633,13701,13681,8709,2459,3033,2,112,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0423,충무로,72,5,3630,3170,4679,22668,10968,60190,17942,194966,22349,116715,23889,68539,28193,55929,31422,50220,38872,48323,47077,39419,54612,36022,68484,36592,104496,43077,162592,47702,77000,28170,60257,17425,57798,15768,47748,14499,27366,10142,5024,3484,6,122,0,1,0,0,2023-04-03 09:45:30
2023-03,4호선,0424,명동,43,13,1777,1004,4015,16536,7618,55598,16131,135110,29414,94004,36251,63317,42679,62168,42321,74199,44349,67053,54189,63045,70716,64952,83403,63603,104504,69448,142596,65772,79613,51120,71483,36077,66997,26764,54930,18502,20322,10637,1444,3611,4,142,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0425,회현(남대문시장),27,1,1654,700,3062,19609,5378,56338,9074,147795,11951,109166,17563,81628,28963,82757,39751,68571,52200,59833,64848,53943,77760,44935,91564,32243,111643,24988,138244,21008,57812,12307,50586,6789,23688,6002,13670,5219,5305,3575,627,1292,1,97,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0426,서울역,256,4,4953,892,6630,17531,13767,42325,17084,90361,15023,59765,13811,30650,15345,29395,16139,31799,15884,32476,16002,30607,17961,33836,24601,36069,48977,42395,66452,44099,26248,33642,17365,24172,15072,21319,11514,18569,5171,9266,532,3218,0,258,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0427,숙대입구(갈월),9,0,3161,667,7810,7379,19665,25750,28606,60516,21188,35830,17124,31799,18139,25962,22598,20950,23637,21358,24992,20185,30073,20434,42730,23831,44952,33548,57550,43480,29545,27321,25722,17365,27107,15422,22705,15229,10399,9400,1359,2535,0,1,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0428,삼각지,2,1,718,348,2150,4872,7961,13526,11069,21984,6770,11209,5391,9292,5665,10191,6893,11184,8052,10962,8503,9676,9219,10865,10979,12886,16597,16734,24593,23050,11548,13902,10730,7886,12748,6195,11704,5655,5811,3747,885,1374,0,3,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0429,신용산,3,0,1618,1008,4379,12272,13313,37655,18553,98641,15035,74840,13940,35349,18328,28245,19273,29817,23438,29579,23313,27685,30505,28377,39487,30563,64831,36860,100726,45043,48778,26677,37817,14896,37311,11089,25970,8622,12645,4733,1576,1274,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0430,이촌(국립중앙박물관),7,0,1323,903,4786,6986,14418,15046,18111,30262,13667,22969,10667,19857,12361,18003,15775,18518,16069,21887,17587,20432,21721,19893,28787,18646,31856,18372,29684,23390,12258,15802,10065,9913,8706,8556,4937,8468,1678,4707,194,1457,0,21,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0431,동작(현충원),11,0,229,223,621,2006,2083,3425,2677,5410,2391,3548,1875,3360,2310,2469,2330,2553,2367,3286,2591,3581,3612,3135,4837,3044,5726,3214,5515,4006,2626,2717,2005,2470,1602,1343,1401,1022,499,645,94,325,0,77,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0432,총신대입구(이수),97,0,6305,895,17578,9321,52496,19735,64327,46106,42608,32526,31260,25161,29290,25610,32063,27600,33785,30429,30546,33163,30530,40366,34007,48036,37431,59529,44517,84434,26963,52713,25919,31034,21946,26915,17999,24252,8152,13932,1144,3666,2,652,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0433,사당,128,60,10434,1620,28042,18728,76775,28417,86886,40810,74486,32085,49066,27812,39883,34530,42270,36220,41350,31323,40967,30504,40256,36847,43428,50296,51288,72150,56498,102922,38550,68206,35543,39436,38667,35929,33761,33656,16451,21454,1681,6272,3,625,0,0,0,0,2023-04-03 09:45:30
2023-03,4호선,0434,남태령,37,0,507,59,886,1471,2559,5208,4472,6288,3375,2124,2373,1444,2315,1304,2293,1555,2066,1425,2062,1489,2300,1632,3370,1833,5497,1747,4602,2128,1943,1939,1836,1566,790,1212,425,926,183,535,23,117,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1001,서울역,6,1,40,467,120,3884,11861,6106,21963,6553,17389,5493,16307,3696,17236,2200,17001,3911,17040,3582,8452,3436,17392,4231,21170,4522,18866,7665,22044,9558,17997,5492,13832,3842,16259,3229,12711,2793,6273,648,868,24,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1002,남영,75,1,2541,1164,5298,8106,14625,27959,21480,60493,13075,32018,10446,17959,10634,14773,12668,13280,12940,13474,13916,12127,20402,12886,24961,14892,33010,20064,45189,27495,20251,17137,16421,11430,16305,10280,13627,9475,5544,5880,116,571,1,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1003,용산,401,11,5001,5507,6219,34843,22339,83115,35263,164381,38489,119383,34598,83104,51727,71340,48321,74480,60851,77729,49309,72087,91640,75934,100213,75027,133662,81752,173836,89011,104014,61299,102096,39301,99047,26999,66368,14155,26615,6562,553,1608,0,0,2,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1004,노량진,479,5,4964,2218,7930,5905,19331,9220,26893,16445,14417,12514,11005,9650,11809,12373,13233,13302,15160,12822,14991,11579,15149,14189,16876,18008,18469,27061,19908,41598,14976,24013,14580,13804,16554,12941,15294,11071,5505,6499,175,786,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1005,대방,543,2,5366,1962,10826,8885,29080,33044,36135,47271,21727,23181,16456,13769,15423,12932,16568,14894,16399,16151,15978,13562,17443,15947,19053,18978,29368,26964,39932,36550,14911,24151,11462,16441,10802,16086,7395,14545,2151,9362,72,1465,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1006,영등포,4811,128,16301,8000,17731,25388,44398,64423,60699,137861,43623,99760,40384,78905,47206,84609,56409,90989,60760,93988,62588,79794,89790,81519,106665,84059,123375,98003,169532,122824,98178,76482,102059,42297,78413,33037,65030,26296,24231,15781,479,2962,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1007,신도림,403,7,2585,671,3906,2816,10066,7007,11390,16457,6761,7863,4816,5420,4669,4930,5114,5149,5435,5517,5341,5460,5614,6589,6609,7614,10031,10558,15130,14980,6865,8814,5093,4984,5190,4215,3860,3825,1556,2331,78,861,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1032,신길,866,0,10171,2088,11354,6014,27433,19654,35666,30619,19659,11550,12442,6886,11243,7099,13721,8158,11798,8902,10418,8712,11996,10209,15199,13019,20474,17712,31331,24641,12575,17306,8891,12216,7802,12766,5524,11178,2094,6920,122,1318,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1701,구로,12048,34,25274,4978,20037,13994,41436,33479,40097,77222,29467,42290,22341,28051,22024,23574,23038,23377,24000,24510,24893,23767,28650,27136,35161,32819,54056,43156,63718,46235,27014,32812,21126,21431,18389,20318,12735,18304,4888,15269,22,12692,0,3,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1702,가산디지털단지,1535,3,8564,3756,7388,16400,17074,61012,16635,162958,12920,76704,11155,24661,12346,16897,14436,16969,15203,18058,15648,17543,19277,17270,30721,21365,76805,28184,116110,30137,47003,22872,28502,14601,23725,13849,16471,11914,7150,6778,275,1048,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1703,금천구청,714,2,12739,1400,20065,5841,51778,16089,47776,31382,28388,12369,20728,9940,18051,11143,18273,12983,16496,15564,14542,14499,15331,21034,16963,24226,18574,33360,28134,49353,11912,37535,8935,20458,7625,19823,4838,15647,1652,10696,56,828,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1704,석수,315,0,8333,2602,17930,6281,42127,13153,39732,16934,23827,12031,16137,10242,14367,7284,13816,8032,12546,9301,11620,9948,13878,13216,15611,15423,18547,24464,17460,35566,10057,27721,6558,16547,5476,16412,3664,14189,1468,8569,91,618,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1705,관악,225,2,7992,1764,14568,4032,38880,6999,35824,11810,18196,12124,13096,10815,11566,7647,12227,8604,11683,8379,10811,8947,11668,10724,13731,13823,13285,19514,12925,32035,7429,24477,5330,14023,4737,14057,2816,11606,1164,8215,55,575,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1706,안양,267,3,15472,4547,36419,13604,94370,24052,84565,63797,48059,63876,35634,38082,35661,37756,43614,36706,40572,42699,39192,34829,51102,40263,66375,50524,65604,65115,47346,98901,29676,74358,26352,41880,26663,35155,22142,28487,9081,21274,361,1826,0,1,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1707,명학,90,5,7332,2185,11893,8568,28696,27148,24639,66110,12941,15705,9961,10419,10698,14686,10680,8028,10249,10713,13675,10256,12299,8173,19129,10852,33635,14257,40912,22266,14931,19437,12880,10937,8235,9032,5711,8798,2237,6751,114,1036,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1708,금정,335,8,25108,6134,41327,21248,103283,46807,102891,97313,60606,36255,41817,23832,36839,26197,38554,28010,36000,30006,32293,31442,34385,40648,42791,53259,68125,73958,80782,106266,38139,83680,30045,47934,26147,47263,19025,41097,7779,29084,517,10461,1,1,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1709,군포,18,0,5559,2101,10034,8707,20675,34345,20545,47296,10937,10750,8401,5064,8322,5197,8719,5706,7925,6522,7464,6147,8156,7331,10672,9645,26207,11307,38478,17618,12775,12950,10022,8327,5547,7069,3046,6263,1142,3939,47,753,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1710,의왕,51,0,6592,2964,13276,13820,32002,32734,32256,34071,15794,11144,12206,9266,12208,8027,12853,9521,11391,10061,11462,9720,14456,10908,21921,15178,31373,19665,27629,30522,13294,21037,9137,15026,6959,13122,4704,10809,1847,7523,73,1270,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1711,성균관대,162,2,9189,1850,29887,7507,77873,11022,62760,31741,31517,22201,23367,18390,21667,16667,23954,17059,22219,20408,19571,18908,21292,23213,30247,29540,30956,45115,29472,66054,17597,55382,15140,33953,14266,29152,12459,25962,5316,17595,251,2912,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1712,화서,386,38,8690,3065,24584,8118,49459,6741,38774,12031,18245,6586,13702,6783,12186,7201,11393,7935,10106,9082,9343,9236,10260,11094,15112,15474,14995,24074,11672,40281,6584,33196,4953,19160,4120,14242,3375,13713,1089,8564,54,1672,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1713,수원,1433,47,20955,5553,38975,33530,83497,59814,81296,90919,54687,80489,46998,72412,52200,69129,57854,82688,57907,75150,60086,74577,77612,75284,101109,92358,105440,109787,110785,140624,83833,101813,86252,60700,66835,44895,57197,37143,22729,23487,656,7499,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1714,독산,562,5,8568,2704,20315,13889,53295,50324,49350,110352,26956,51251,20057,16980,19721,12773,20597,14004,19344,15850,17891,13782,19666,18708,30229,21791,66113,31703,78741,47256,34601,40367,19753,22819,13817,24026,8966,20603,2984,12369,136,764,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,경부선,1715,세류,421,5,3934,969,9371,2690,17427,4570,11902,3986,6585,2759,4934,2779,4616,3141,4330,3387,3949,3421,3584,3783,3938,4214,5439,6309,6833,7719,5745,13700,3659,10090,2823,7268,2357,6038,1441,4832,461,2933,15,998,0,0,0,0,0,0,2023-04-03 09:45:30
