사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2023-03,2호선,0207,상왕십리,68,5,5713,621,14695,6394,44187,13768,72753,35188,39700,18786,24130,14111,20971,12864,22751,14927,20948,16318,19157,17972,19948,21884,22087,26818,26401,36772,29370,56056,20028,39249,13178,25034,11558,23974,8196,22572,3138,13826,497,4555,0,46,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0208,왕십리(성동구청),820,3,6709,1232,9971,7484,27227,15266,49379,30884,30651,21125,20365,16123,19735,17637,23214,19076,24275,20386,24720,20461,26788,22368,35322,27321,38401,38947,41147,62039,27163,38622,26698,23430,30779,20886,32588,20371,19980,14094,3776,5143,3,86,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0209,한양대,6,0,1042,445,2473,6345,5992,13730,9069,83759,6650,73014,8571,67529,14102,19658,19401,43476,22156,32043,30210,23138,39683,13923,51228,13188,65867,18198,49017,23014,22026,9899,19138,6647,22395,5988,13319,6127,6290,4307,1261,1386,1,42,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0210,뚝섬,16,2,3107,2438,8445,16219,19596,40726,26890,144373,18519,97378,15389,44432,17421,35455,21327,36362,25030,38938,30131,35254,38055,35611,49606,37675,77302,39945,139452,50371,70076,28652,46420,15338,45147,13252,30556,12265,11662,7905,1600,2712,2,65,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0211,성수,47,1,5464,4223,9766,33080,24933,79002,33732,287267,26523,167172,23194,76347,26964,58181,32863,61145,39994,66289,46129,63794,56779,62978,75139,62406,136346,67478,256680,76636,124992,45518,85345,22578,77477,17946,56618,15591,22927,12422,3170,5985,3,956,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0212,건대입구,306,7,16037,1884,22424,16877,57081,26535,99906,72364,67398,55042,41945,48882,40133,51472,47472,56358,51595,61349,53405,61541,59026,67838,69044,83325,80358,117330,95419,171709,72066,117907,73967,68754,83771,62155,88442,55527,55810,32789,8939,11929,11,836,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0213,구의(광진구청),56,0,13419,1567,27532,19999,73086,16739,125237,41532,75788,25085,39481,20878,33217,20784,34205,24010,32843,27216,29721,29139,30076,37692,40317,44834,39143,61394,47087,98074,24869,73698,19518,47120,17786,45777,16382,42480,8898,24808,1415,8186,3,133,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0214,강변(동서울터미널),21,2,8496,2230,28385,21622,84449,23122,127375,43433,89634,36312,68431,35789,58429,34587,54536,39110,50363,44176,46087,49561,47917,59935,52275,67733,59286,84823,63523,115082,44985,83144,35564,55589,28249,47508,18759,43630,7479,23824,950,6331,4,67,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0215,잠실나루,3,0,3208,1915,12766,12207,42875,24475,52132,41126,33588,26512,26581,20119,25389,18095,24853,22094,22612,23424,23510,21572,26560,22197,33125,24176,39773,30944,32724,42847,16276,32745,12230,20451,9450,19146,7035,19163,3056,10536,415,3213,0,25,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0216,잠실(송파구청),65,13,13534,4755,49645,36293,130053,84446,182519,181408,134072,150784,89448,116427,86391,121453,94605,115852,102823,119135,110396,120107,126814,135150,152691,149393,195589,192316,241264,248888,163331,168185,159056,104198,144068,97073,102964,90760,34593,49421,5188,10659,6,106,0,0,0,0,2023-04-03 09:45:30
